id|wallet_id|value|created_at|status
wa0817387533-lbp-1736653366-mG22TQ|wa0817387533-lbp|49.38|2025-01-12 03:42:46|Successful
wa0817387533-lbp-1733108170-d2si6t|wa0817387533-lbp|114.39|2024-12-02 02:56:10|Successful
wa0817387533-lbp-1734691355-lss9RP|wa0817387533-lbp|197.43|2024-12-20 10:42:35|Successful
wa1979198372-isk-1724086897-eNN0a3|wa1979198372-isk|140.71|2024-08-19 17:01:37|Successful
wa1979198372-isk-1724551774-fNsooA|wa1979198372-isk|124.56|2024-08-25 02:09:34|Successful
wa1979198372-isk-1730694759-HR3DiJ|wa1979198372-isk|79.47|2024-11-04 04:32:39|Successful
wa1979198372-isk-1735618965-st2fol|wa1979198372-isk|159.34|2024-12-31 04:22:45|Successful
wa1979198372-isk-1726917558-U6QGJT|wa1979198372-isk|191.88|2024-09-21 11:19:18|Successful
wa1979198372-isk-1727289358-pljVNb|wa1979198372-isk|42.67|2024-09-25 18:35:58|Successful
wa1979198372-isk-1725234977-EBdMDq|wa1979198372-isk|163.71|2024-09-01 23:56:17|Unsuccessful
wa1979198372-isk-1735713177-SOrRgT|wa1979198372-isk|47.13|2025-01-01 06:32:57|Successful
wa1979198372-isk-1724709205-EpUAbv|wa1979198372-isk|100.29|2024-08-26 21:53:25|Successful
wa1979198372-isk-1723076115-aJjE6v|wa1979198372-isk|149.6|2024-08-08 00:15:15|Successful
wa1979198372-isk-1726664496-dpBTCl|wa1979198372-isk|32.31|2024-09-18 13:01:36|Successful
wa1979198372-isk-1726358724-5fvpLr|wa1979198372-isk|99.31|2024-09-15 00:05:24|Successful
wa1979198372-isk-1725784177-nVWdX3|wa1979198372-isk|92.5|2024-09-08 08:29:37|Successful
wa1979198372-isk-1734547374-n1djgI|wa1979198372-isk|155.05|2024-12-18 18:42:54|Successful
wa1979198372-isk-1729805059-EWsZB7|wa1979198372-isk|91.96|2024-10-24 21:24:19|Successful
wa1979198372-isk-1728287148-CV4e8J|wa1979198372-isk|128.8|2024-10-07 07:45:48|Successful
wa1979198372-isk-1734136134-0OeSkN|wa1979198372-isk|179.22|2024-12-14 00:28:54|Successful
wa1979198372-isk-1723928268-BEkRP9|wa1979198372-isk|141.93|2024-08-17 20:57:48|Successful
wa1979198372-isk-1729613791-ahMart|wa1979198372-isk|79.12|2024-10-22 16:16:31|Successful
wa1979198372-isk-1728683193-kudBAf|wa1979198372-isk|177.78|2024-10-11 21:46:33|Successful
wa1979198372-isk-1725611682-2WG2FT|wa1979198372-isk|40.53|2024-09-06 08:34:42|Successful
wa1979198372-isk-1726129075-rxPfCp|wa1979198372-isk|155.65|2024-09-12 08:17:55|Successful
wa1979198372-isk-1727021756-2pY5i2|wa1979198372-isk|153.33|2024-09-22 16:15:56|Cancelled
wa1979198372-isk-1735654430-cSSVzp|wa1979198372-isk|148.75|2024-12-31 14:13:50|Successful
wa1979198372-isk-1730906643-LEW02z|wa1979198372-isk|56.14|2024-11-06 15:24:03|Successful
wa1979198372-isk-1733296753-yRL8lG|wa1979198372-isk|4.09|2024-12-04 07:19:13|Successful
wa1979198372-isk-1725548076-GkFjFZ|wa1979198372-isk|123.81|2024-09-05 14:54:36|Successful
wa1979198372-isk-1733176680-rfdkO8|wa1979198372-isk|6.18|2024-12-02 21:58:00|Successful
wa1979198372-isk-1731967228-zx44CH|wa1979198372-isk|53.89|2024-11-18 22:00:28|Successful
wa1979198372-isk-1732584032-k7qQ3B|wa1979198372-isk|123.89|2024-11-26 01:20:32|Successful
wa1979198372-isk-1731468879-RtW1zn|wa1979198372-isk|145.69|2024-11-13 03:34:39|Cancelled
wa1979198372-isk-1725196312-8n7tUG|wa1979198372-isk|2.58|2024-09-01 13:11:52|Successful
wa1979198372-isk-1729087555-ti56Px|wa1979198372-isk|155.51|2024-10-16 14:05:55|Successful
wa1979198372-isk-1724193702-G3JhgL|wa1979198372-isk|97.25|2024-08-20 22:41:42|Successful
wa1979198372-isk-1734692757-lj1e4W|wa1979198372-isk|50.78|2024-12-20 11:05:57|Successful
wa1979198372-isk-1732926342-dcfrGj|wa1979198372-isk|49.53|2024-11-30 00:25:42|Successful
wa1979198372-isk-1726367345-WA5oUw|wa1979198372-isk|88.97|2024-09-15 02:29:05|Successful
wa1979198372-isk-1724808130-dDdCRg|wa1979198372-isk|152.65|2024-08-28 01:22:10|Successful
wa1979198372-isk-1731883403-iVpIQb|wa1979198372-isk|141.67|2024-11-17 22:43:23|Successful
wa1979198372-isk-1732453928-Ew1BnO|wa1979198372-isk|198.38|2024-11-24 13:12:08|Successful
wa1979198372-isk-1736609284-Be3JIg|wa1979198372-isk|146.64|2025-01-11 15:28:04|Successful
wa1979198372-isk-1727296113-3ReZzP|wa1979198372-isk|167.46|2024-09-25 20:28:33|Unsuccessful
wa1979198372-isk-1727465098-UvfLLH|wa1979198372-isk|29.13|2024-09-27 19:24:58|Successful
wa9146669647-mdl-1731792475-kRbHpj|wa9146669647-mdl|69.21|2024-11-16 21:27:55|Successful
wa9146669647-mdl-1706160866-GKhNNS|wa9146669647-mdl|70.23|2024-01-25 05:34:26|Successful
wa9146669647-mdl-1724135228-YOk49i|wa9146669647-mdl|165.33|2024-08-20 06:27:08|Successful
wa9146669647-mdl-1730034173-fDJZnh|wa9146669647-mdl|197.47|2024-10-27 13:02:53|Successful
wa9146669647-mdl-1701665232-vN4yZb|wa9146669647-mdl|179.76|2023-12-04 04:47:12|Successful
wa9146669647-mdl-1702770880-auybPo|wa9146669647-mdl|36.15|2023-12-16 23:54:40|Successful
wa9146669647-mdl-1706112128-WQPiwa|wa9146669647-mdl|199.56|2024-01-24 16:02:08|Successful
wa9146669647-mdl-1735243534-R4n1Uo|wa9146669647-mdl|70.08|2024-12-26 20:05:34|Successful
wa9146669647-mdl-1711224028-Jr2yPk|wa9146669647-mdl|79.52|2024-03-23 20:00:28|Successful
wa9146669647-mdl-1706362450-4q8Wp5|wa9146669647-mdl|146.18|2024-01-27 13:34:10|Successful
wa9146669647-mdl-1704330974-MMl4Py|wa9146669647-mdl|134.9|2024-01-04 01:16:14|Successful
wa9146669647-mdl-1702464892-BjtZnm|wa9146669647-mdl|190.51|2023-12-13 10:54:52|Successful
wa9146669647-mdl-1709468466-WwivYL|wa9146669647-mdl|145.09|2024-03-03 12:21:06|Successful
wa9146669647-mdl-1731961213-u5h7KX|wa9146669647-mdl|91.93|2024-11-18 20:20:13|Successful
wa9146669647-mdl-1713976620-9mYw7U|wa9146669647-mdl|36.72|2024-04-24 16:37:00|Successful
wa9146669647-mdl-1726758381-IfyrSX|wa9146669647-mdl|133.94|2024-09-19 15:06:21|Successful
wa9146669647-mdl-1723065918-c8S6d2|wa9146669647-mdl|143.31|2024-08-07 21:25:18|Successful
wa9146669647-mdl-1711304928-OM5FnV|wa9146669647-mdl|23.97|2024-03-24 18:28:48|Successful
wa9146669647-mdl-1736312703-VxerUF|wa9146669647-mdl|7.11|2025-01-08 05:05:03|Successful
wa9146669647-mdl-1713689904-yX0Z5i|wa9146669647-mdl|113.41|2024-04-21 08:58:24|Successful
wa9146669647-mdl-1733321106-irBfuL|wa9146669647-mdl|83.48|2024-12-04 14:05:06|Successful
wa9146669647-mdl-1722561953-YKeJGZ|wa9146669647-mdl|118.97|2024-08-02 01:25:53|Successful
wa9146669647-mdl-1711352366-RheVDX|wa9146669647-mdl|69.34|2024-03-25 07:39:26|Successful
wa9146669647-mdl-1719027620-58Qndb|wa9146669647-mdl|64.52|2024-06-22 03:40:20|Successful
wa9146669647-mdl-1728371432-n1QZyA|wa9146669647-mdl|183.88|2024-10-08 07:10:32|Successful
wa9146669647-mdl-1706679183-upxqkY|wa9146669647-mdl|131.2|2024-01-31 05:33:03|Successful
wa9146669647-mdl-1708293836-cUrCsv|wa9146669647-mdl|147.35|2024-02-18 22:03:56|Successful
wa9146669647-mdl-1701912753-bNispe|wa9146669647-mdl|20.52|2023-12-07 01:32:33|Successful
wa9146669647-mdl-1716723613-laV6Vl|wa9146669647-mdl|190.53|2024-05-26 11:40:13|Successful
wa9146669647-mdl-1709354281-0bWWzH|wa9146669647-mdl|13.95|2024-03-02 04:38:01|Successful
wa9146669647-mdl-1732525449-xrTgc6|wa9146669647-mdl|197.86|2024-11-25 09:04:09|Successful
wa9146669647-mdl-1712359085-2xsOzm|wa9146669647-mdl|152.09|2024-04-05 23:18:05|Successful
wa9146669647-mdl-1706792958-9RsWeF|wa9146669647-mdl|107.69|2024-02-01 13:09:18|Successful
wa9146669647-mdl-1723504636-3c0EYD|wa9146669647-mdl|86.68|2024-08-12 23:17:16|Successful
wa9146669647-mdl-1719045348-bnxJ1s|wa9146669647-mdl|145.94|2024-06-22 08:35:48|Successful
wa9146669647-mdl-1711552243-QyCyy0|wa9146669647-mdl|119.53|2024-03-27 15:10:43|Successful
wa9146669647-mdl-1729320696-ImYKSP|wa9146669647-mdl|153.86|2024-10-19 06:51:36|Successful
wa9146669647-mdl-1701756537-90hhdQ|wa9146669647-mdl|51.53|2023-12-05 06:08:57|Successful
wa9146669647-mdl-1715583766-HJN5fW|wa9146669647-mdl|6.66|2024-05-13 07:02:46|Successful
wa9146669647-mvr-1736301953-4Y5qI7|wa9146669647-mvr|31.94|2025-01-08 02:05:53|Successful
wa9146669647-mvr-1736197850-XPup2O|wa9146669647-mvr|132.6|2025-01-06 21:10:50|Successful
wa9146669647-mvr-1736138205-xYloXL|wa9146669647-mvr|43.18|2025-01-06 04:36:45|Successful
wa9146669647-mvr-1736074354-zOxKaH|wa9146669647-mvr|79.34|2025-01-05 10:52:34|Unsuccessful
wa9146669647-mvr-1736528121-g80JAR|wa9146669647-mvr|72.18|2025-01-10 16:55:21|Successful
wa9146669647-mvr-1736570787-G1vnvP|wa9146669647-mvr|70.18|2025-01-11 04:46:27|Successful
wa9146669647-mvr-1736296564-xbyqQ6|wa9146669647-mvr|110.27|2025-01-08 00:36:04|Successful
wa9146669647-mvr-1736557904-o1VBhF|wa9146669647-mvr|58.68|2025-01-11 01:11:44|Successful
wa9146669647-mvr-1736483736-UkM9Gu|wa9146669647-mvr|26.39|2025-01-10 04:35:36|Successful
wa9146669647-mvr-1736623305-645PHD|wa9146669647-mvr|161.44|2025-01-11 19:21:45|Successful
wa9146669647-mvr-1736465665-DEu6ql|wa9146669647-mvr|6.84|2025-01-09 23:34:25|Successful
wa9146669647-mvr-1736168800-YdM6An|wa9146669647-mvr|10.47|2025-01-06 13:06:40|Successful
wa9146669647-mvr-1736211254-RZplw5|wa9146669647-mvr|196.14|2025-01-07 00:54:14|Successful
wa9146669647-mvr-1736309945-DmiILo|wa9146669647-mvr|111.47|2025-01-08 04:19:05|Successful
wa9146669647-mvr-1736024591-mCWMMq|wa9146669647-mvr|90.44|2025-01-04 21:03:11|Successful
wa9146669647-mvr-1736016649-IdXpYd|wa9146669647-mvr|150.18|2025-01-04 18:50:49|Successful
wa9146669647-mvr-1736049749-peF15p|wa9146669647-mvr|108.81|2025-01-05 04:02:29|Successful
wa9146669647-xaf-1725143287-Lkgo1u|wa9146669647-xaf|9.47|2024-08-31 22:28:07|Successful
wa9146669647-xaf-1706823958-55rCWz|wa9146669647-xaf|96.22|2024-02-01 21:45:58|Successful
wa9146669647-xaf-1709256676-CwfNLT|wa9146669647-xaf|12.33|2024-03-01 01:31:16|Successful
wa9146669647-xaf-1725124673-V8Mn4N|wa9146669647-xaf|71.04|2024-08-31 17:17:53|Successful
wa9146669647-xaf-1728761348-jPvoZW|wa9146669647-xaf|121.28|2024-10-12 19:29:08|Successful
wa9146669647-xaf-1706056291-oHEcRt|wa9146669647-xaf|80.83|2024-01-24 00:31:31|Successful
wa9146669647-xaf-1735336696-cLHrkq|wa9146669647-xaf|5.16|2024-12-27 21:58:16|Successful
wa9146669647-xaf-1690261191-APjIY7|wa9146669647-xaf|41.91|2023-07-25 04:59:51|Cancelled
wa9146669647-xaf-1729593631-bi1oby|wa9146669647-xaf|12.62|2024-10-22 10:40:31|Successful
wa9146669647-xaf-1722424939-ERfGu4|wa9146669647-xaf|36.02|2024-07-31 11:22:19|Successful
wa9146669647-xaf-1702974348-vmaIJx|wa9146669647-xaf|79.41|2023-12-19 08:25:48|Successful
wa9146669647-xaf-1689649265-5t4ybi|wa9146669647-xaf|47.7|2023-07-18 03:01:05|Successful
wa9146669647-xaf-1732972087-bvZLsl|wa9146669647-xaf|131.7|2024-11-30 13:08:07|Successful
wa9146669647-xaf-1690972803-pjXLOy|wa9146669647-xaf|28.17|2023-08-02 10:40:03|Successful
wa9146669647-xaf-1701747373-oGpx0G|wa9146669647-xaf|71.59|2023-12-05 03:36:13|Successful
wa9146669647-xaf-1731450313-x4eDQ7|wa9146669647-xaf|6.32|2024-11-12 22:25:13|Successful
wa9146669647-xaf-1716102583-wzrm6t|wa9146669647-xaf|108.36|2024-05-19 07:09:43|Successful
wa9146669647-xaf-1705695475-CjjiyX|wa9146669647-xaf|118.06|2024-01-19 20:17:55|Successful
wa9146669647-xaf-1705406147-KcG9pl|wa9146669647-xaf|189.94|2024-01-16 11:55:47|Successful
wa9146669647-xaf-1714323380-d2EQaZ|wa9146669647-xaf|108.39|2024-04-28 16:56:20|Successful
wa9146669647-xaf-1722925193-o72DqY|wa9146669647-xaf|124.8|2024-08-06 06:19:53|Successful
wa9146669647-xaf-1711891569-1E4d0z|wa9146669647-xaf|135.83|2024-03-31 13:26:09|Unsuccessful
wa9146669647-xaf-1697424585-drcKWF|wa9146669647-xaf|121.83|2023-10-16 02:49:45|Successful
wa9146669647-xaf-1713428945-N7cZO4|wa9146669647-xaf|119.8|2024-04-18 08:29:05|Successful
wa9146669647-xaf-1692664284-shfD18|wa9146669647-xaf|181.23|2023-08-22 00:31:24|Successful
wa9146669647-xaf-1700983076-IwYNpf|wa9146669647-xaf|182.14|2023-11-26 07:17:56|Successful
wa9146669647-xaf-1706162999-7nb5Ff|wa9146669647-xaf|14.33|2024-01-25 06:09:59|Successful
wa9146669647-xaf-1702070435-m8AkYf|wa9146669647-xaf|68.39|2023-12-08 21:20:35|Successful
wa9146669647-xaf-1729473447-Uc5GCF|wa9146669647-xaf|123.91|2024-10-21 01:17:27|Successful
wa9146669647-xaf-1685661009-VrbjAK|wa9146669647-xaf|58.89|2023-06-01 23:10:09|Successful
wa9146669647-xaf-1689132989-pErKwK|wa9146669647-xaf|48.19|2023-07-12 03:36:29|Successful
wa9146669647-xaf-1725606735-u9Dbic|wa9146669647-xaf|109.5|2024-09-06 07:12:15|Successful
wa9146669647-xaf-1691678423-VlldEo|wa9146669647-xaf|156.84|2023-08-10 14:40:23|Successful
wa3419872890-szl-1732851825-6FtCey|wa3419872890-szl|85.03|2024-11-29 03:43:45|Successful
wa3419872890-szl-1734202396-t0SxXj|wa3419872890-szl|155.24|2024-12-14 18:53:16|Successful
wa3419872890-szl-1733978518-LNiOp6|wa3419872890-szl|108.54|2024-12-12 04:41:58|Successful
wa3419872890-szl-1732452675-sSCqx8|wa3419872890-szl|72.77|2024-11-24 12:51:15|Successful
wa3419872890-szl-1733592683-mCUYZN|wa3419872890-szl|90.08|2024-12-07 17:31:23|Successful
wa3419872890-szl-1735698532-RdX7FP|wa3419872890-szl|8.39|2025-01-01 02:28:52|Successful
wa3419872890-szl-1735270442-R1gHJI|wa3419872890-szl|95.1|2024-12-27 03:34:02|Successful
wa3419872890-szl-1735084448-JJF36o|wa3419872890-szl|107.78|2024-12-24 23:54:08|Successful
wa3419872890-szl-1735622259-sYVdar|wa3419872890-szl|75.99|2024-12-31 05:17:39|Successful
wa3419872890-szl-1735821341-5RozjL|wa3419872890-szl|86.84|2025-01-02 12:35:41|Successful
wa3419872890-szl-1735224889-bKhex2|wa3419872890-szl|50.56|2024-12-26 14:54:49|Successful
wa3419872890-szl-1732268797-GVeyhm|wa3419872890-szl|173.22|2024-11-22 09:46:37|Successful
wa3419872890-szl-1735335338-niROt5|wa3419872890-szl|159.9|2024-12-27 21:35:38|Successful
wa3419872890-szl-1733864507-uVOthQ|wa3419872890-szl|137.99|2024-12-10 21:01:47|Unsuccessful
wa3419872890-szl-1735403111-HhyPag|wa3419872890-szl|92.57|2024-12-28 16:25:11|Successful
wa3419872890-szl-1732760518-LcCPxC|wa3419872890-szl|6.96|2024-11-28 02:21:58|Successful
wa3419872890-szl-1735921475-2DnIzc|wa3419872890-szl|88.76|2025-01-03 16:24:35|Successful
wa3419872890-szl-1735868401-Srzwm9|wa3419872890-szl|54.78|2025-01-03 01:40:01|Successful
wa3419872890-szl-1734728886-3K5MMV|wa3419872890-szl|102.77|2024-12-20 21:08:06|Successful
wa3419872890-szl-1734736637-Uo5qDw|wa3419872890-szl|161.03|2024-12-20 23:17:17|Successful
wa3419872890-szl-1734485806-GTc2Oh|wa3419872890-szl|140.02|2024-12-18 01:36:46|Successful
wa3419872890-szl-1734270840-0RALt5|wa3419872890-szl|17.68|2024-12-15 13:54:00|Successful
wa3419872890-pen-1736424334-vvw0KZ|wa3419872890-pen|113.42|2025-01-09 12:05:34|Successful
wa3419872890-pen-1736305195-sLSecw|wa3419872890-pen|100.12|2025-01-08 02:59:55|Successful
wa3419872890-pen-1736473748-Uk0oB1|wa3419872890-pen|64.35|2025-01-10 01:49:08|Successful
wa3419872890-pen-1736583365-cwuOJ2|wa3419872890-pen|143.52|2025-01-11 08:16:05|Successful
wa3419872890-pen-1736419808-dI8XLu|wa3419872890-pen|15.53|2025-01-09 10:50:08|Successful
wa3419872890-pen-1736291413-4woWy4|wa3419872890-pen|158.66|2025-01-07 23:10:13|Successful
wa3419872890-pen-1736529838-Q0eUKO|wa3419872890-pen|59.69|2025-01-10 17:23:58|Successful
wa3419872890-pen-1736603371-1p0IsS|wa3419872890-pen|81.93|2025-01-11 13:49:31|Successful
wa3419872890-pen-1736440290-zt5CNb|wa3419872890-pen|121.13|2025-01-09 16:31:30|Successful
wa3419872890-pen-1736606503-7mLvPZ|wa3419872890-pen|9.91|2025-01-11 14:41:43|Successful
wa3419872890-pen-1736392186-hAbdqI|wa3419872890-pen|95.93|2025-01-09 03:09:46|Successful
wa3419872890-pen-1736296324-04V9Ta|wa3419872890-pen|52.43|2025-01-08 00:32:04|Successful
wa3419872890-pen-1736442657-eCpvtf|wa3419872890-pen|83.45|2025-01-09 17:10:57|Successful
wa3419872890-pen-1736532781-atQ0fP|wa3419872890-pen|156.87|2025-01-10 18:13:01|Unsuccessful
wa3419872890-pen-1736189498-ZchjoV|wa3419872890-pen|43.13|2025-01-06 18:51:38|Successful
wa3419872890-pen-1736384207-GyyWOh|wa3419872890-pen|38.62|2025-01-09 00:56:47|Successful
wa3419872890-pen-1736553956-pl4dip|wa3419872890-pen|6.56|2025-01-11 00:05:56|Successful
wa3419872890-pen-1736654081-ss81K3|wa3419872890-pen|105.23|2025-01-12 03:54:41|Successful
wa3419872890-pen-1736507769-aiPuLu|wa3419872890-pen|143.84|2025-01-10 11:16:09|Successful
wa3419872890-pen-1736204102-FJqNe6|wa3419872890-pen|151.4|2025-01-06 22:55:02|Successful
wa3419872890-pen-1736586620-8eQ0oK|wa3419872890-pen|49.57|2025-01-11 09:10:20|Successful
wa3419872890-pen-1736468746-lRiCGt|wa3419872890-pen|165.55|2025-01-10 00:25:46|Successful
wa3419872890-pen-1736263030-ZZL7aH|wa3419872890-pen|8.33|2025-01-07 15:17:10|Successful
wa3419872890-pen-1736407861-RgQJJS|wa3419872890-pen|75.09|2025-01-09 07:31:01|Successful
wa3419872890-pen-1736411881-ksXxN2|wa3419872890-pen|100.33|2025-01-09 08:38:01|Unsuccessful
wa3419872890-pen-1736493961-8l4X9t|wa3419872890-pen|98.96|2025-01-10 07:26:01|Successful
wa3419872890-pen-1736565346-tBGZOq|wa3419872890-pen|159.34|2025-01-11 03:15:46|Successful
wa3419872890-pen-1736147739-2hqIZU|wa3419872890-pen|16.25|2025-01-06 07:15:39|Successful
wa3419872890-pen-1736516386-dZvumW|wa3419872890-pen|136.44|2025-01-10 13:39:46|Successful
wa3419872890-pen-1736199960-9CJ6gb|wa3419872890-pen|193.99|2025-01-06 21:46:00|Successful
wa3419872890-pen-1736431127-ZCFlN7|wa3419872890-pen|177.91|2025-01-09 13:58:47|Successful
wa3419872890-pen-1736576056-X5GnYC|wa3419872890-pen|120.38|2025-01-11 06:14:16|Successful
wa2125398960-awg-1724430013-0F8m6B|wa2125398960-awg|156.37|2024-08-23 16:20:13|Successful
wa2125398960-awg-1728270360-aDGcEI|wa2125398960-awg|65.61|2024-10-07 03:06:00|Successful
wa2125398960-awg-1734173279-BpyYnN|wa2125398960-awg|34.78|2024-12-14 10:47:59|Successful
wa2125398960-awg-1733226703-mY3cBi|wa2125398960-awg|32.98|2024-12-03 11:51:43|Successful
wa2125398960-awg-1724108149-vzLTUr|wa2125398960-awg|125.93|2024-08-19 22:55:49|Successful
wa2125398960-awg-1735806362-qEbuqN|wa2125398960-awg|8.14|2025-01-02 08:26:02|Successful
wa2125398960-awg-1726988807-oQkxoj|wa2125398960-awg|19.55|2024-09-22 07:06:47|Successful
wa2125398960-awg-1725051482-W87cuH|wa2125398960-awg|50.82|2024-08-30 20:58:02|Successful
wa2125398960-awg-1729911776-ccJp4V|wa2125398960-awg|39.37|2024-10-26 03:02:56|Successful
wa2125398960-awg-1735869186-ZU6taV|wa2125398960-awg|7.67|2025-01-03 01:53:06|Successful
wa2125398960-awg-1731779312-b3K5cL|wa2125398960-awg|93.08|2024-11-16 17:48:32|Successful
wa2125398960-awg-1730003326-66Au7J|wa2125398960-awg|34.6|2024-10-27 04:28:46|Successful
wa2125398960-awg-1727272428-VKbSPP|wa2125398960-awg|4.73|2024-09-25 13:53:48|Successful
wa2125398960-awg-1732235623-4RWdC7|wa2125398960-awg|45.29|2024-11-22 00:33:43|Successful
wa2125398960-syp-1728880290-b2rEQv|wa2125398960-syp|96.13|2024-10-14 04:31:30|Successful
wa2125398960-syp-1724194743-SVsE9K|wa2125398960-syp|104.56|2024-08-20 22:59:03|Successful
wa2125398960-syp-1729199401-3S6uhM|wa2125398960-syp|31.56|2024-10-17 21:10:01|Successful
wa2125398960-syp-1725315373-ZxHHs5|wa2125398960-syp|80.06|2024-09-02 22:16:13|Successful
wa2125398960-syp-1723979852-EYHDdW|wa2125398960-syp|39.17|2024-08-18 11:17:32|Successful
wa2125398960-syp-1722181633-1rZEbw|wa2125398960-syp|28.27|2024-07-28 15:47:13|Successful
wa2125398960-syp-1732966585-Oc47QN|wa2125398960-syp|132.26|2024-11-30 11:36:25|Successful
wa2125398960-syp-1730869045-wjYIyQ|wa2125398960-syp|82.73|2024-11-06 04:57:25|Successful
wa2125398960-syp-1715386716-HLP8iX|wa2125398960-syp|182.99|2024-05-11 00:18:36|Successful
wa2125398960-syp-1713460310-mKA1hk|wa2125398960-syp|75.12|2024-04-18 17:11:50|Successful
wa2125398960-syp-1736214244-fn5blW|wa2125398960-syp|1.56|2025-01-07 01:44:04|Successful
wa2125398960-syp-1713516622-WSJEYK|wa2125398960-syp|142.56|2024-04-19 08:50:22|Successful
wa2125398960-syp-1730354812-Nlz2k6|wa2125398960-syp|132.15|2024-10-31 06:06:52|Successful
wa2125398960-syp-1719283073-Lm9QrM|wa2125398960-syp|124.44|2024-06-25 02:37:53|Successful
wa2125398960-syp-1723940642-1Rjvpo|wa2125398960-syp|177.85|2024-08-18 00:24:02|Successful
wa2125398960-syp-1735889648-iyNUo9|wa2125398960-syp|147.39|2025-01-03 07:34:08|Unsuccessful
wa2125398960-syp-1736212920-cEEqSz|wa2125398960-syp|111.17|2025-01-07 01:22:00|Successful
wa2125398960-syp-1714383635-aapzoC|wa2125398960-syp|190.28|2024-04-29 09:40:35|Successful
wa2125398960-syp-1724955166-Tjo2NY|wa2125398960-syp|100.26|2024-08-29 18:12:46|Successful
wa2125398960-syp-1730465157-7qBYIj|wa2125398960-syp|85.23|2024-11-01 12:45:57|Successful
wa2125398960-syp-1717060576-oCr5Fs|wa2125398960-syp|199.72|2024-05-30 09:16:16|Successful
wa2125398960-syp-1717450673-OhGIe3|wa2125398960-syp|191.84|2024-06-03 21:37:53|Successful
wa2125398960-syp-1718878598-YOypaQ|wa2125398960-syp|80.88|2024-06-20 10:16:38|Successful
wa2125398960-syp-1730296761-Pzv5Zi|wa2125398960-syp|178.27|2024-10-30 13:59:21|Successful
wa2125398960-syp-1713987157-7ZhdCh|wa2125398960-syp|196.1|2024-04-24 19:32:37|Successful
wa2125398960-syp-1734891745-2VezgJ|wa2125398960-syp|37.89|2024-12-22 18:22:25|Successful
wa2125398960-syp-1712394493-gkR101|wa2125398960-syp|67.62|2024-04-06 09:08:13|Successful
wa2125398960-syp-1716488383-chrV1L|wa2125398960-syp|104.14|2024-05-23 18:19:43|Successful
