id|type|name|provider|status|created_at|updated_at
HRSR36966335|Horse Racing|Horse Racing Munoz's Tour|Game Provider 2|finished|2024-10-22 16:16:58|2024-11-21 06:29:47
BSKT08485832|Basketball|Basketball Berry's Tour|Game Provider 2|finished|2024-10-12 22:07:33|2024-12-03 02:26:54
HRSR07766285|Horse Racing|Horse Racing Dixon's Day|Game Provider 7|ongoing|2024-12-28 14:36:11|2025-01-04 22:28:21
GRHR75204791|Greyhounds|Greyhounds Palmer's Cup|Game Provider 3|finished|2024-09-21 20:14:40|2024-09-22 02:55:10
CRKT30534728|Cricket|Cricket Gregory's Tour|Game Provider 9|finished|2025-01-01 20:20:52|2025-01-02 05:12:46
FOTY16292675|Football|Football Shea's Tour|Game Provider 9|finished|2024-07-06 21:16:08|2024-10-31 08:55:34
CRKT51508102|Cricket|Cricket Williams's Tour|Game Provider 5|finished|2024-09-17 21:21:32|2024-10-18 22:48:38
CRKT42381641|Cricket|Cricket Watts's Tour|Game Provider 9|finished|2024-08-29 03:45:17|2024-09-09 03:11:25
BSKT76854183|Basketball|Basketball Hogan PhD's Tour|Game Provider 8|ongoing|2024-08-16 19:45:48|2025-01-06 21:10:01
BSKT26499713|Basketball|Basketball Hill's Day|Game Provider 2|finished|2024-09-29 11:33:58|2024-12-25 08:26:43
BSKT77864560|Basketball|Basketball May's Day|Game Provider 1|scheduled|2024-12-30 08:47:23|2025-01-11 21:25:36
HRSR89678732|Horse Racing|Horse Racing Mejia's Cup|Game Provider 1|cancelled|2024-09-24 14:29:45|2024-12-03 21:46:16
HRSR98334073|Horse Racing|Horse Racing Rojas's Day|Game Provider 5|finished|2024-11-24 20:01:16|2024-12-12 02:48:01
FOTY94724773|Football|Football Suarez's Tour|Game Provider 1|cancelled|2024-12-07 18:12:22|2024-12-16 19:18:40
HRSR72998780|Horse Racing|Horse Racing Davis's Day|Game Provider 4|ongoing|2024-09-16 06:32:20|2025-01-09 02:11:23
BSKT70981851|Basketball|Basketball Sullivan's Cup|Game Provider 6|ongoing|2024-11-17 04:27:44|2025-01-10 08:10:22
BSKT52608526|Basketball|Basketball Carlson's Day|Game Provider 2|finished|2024-12-12 12:48:17|2024-12-18 18:54:23
HRSR07501672|Horse Racing|Horse Racing Cannon's Day|Game Provider 8|finished|2024-11-05 11:30:54|2024-12-17 18:26:49
HRSR71006011|Horse Racing|Horse Racing Smith's Tour|Game Provider 2|ongoing|2025-01-03 01:09:27|2025-01-12 01:59:25
GRHR11158219|Greyhounds|Greyhounds Cortez's Day|Game Provider 3|finished|2024-07-28 08:03:55|2024-12-05 01:26:09
GRHR12893953|Greyhounds|Greyhounds Chen's Cup|Game Provider 3|finished|2024-11-17 16:03:37|2024-12-26 05:26:58
HRSR50844253|Horse Racing|Horse Racing Allen's Day|Game Provider 3|finished|2024-08-03 09:04:43|2024-09-10 20:11:04
BSKT40039444|Basketball|Basketball Larson's Day|Game Provider 5|finished|2024-07-02 03:18:30|2024-08-27 05:23:04
HRSR76623290|Horse Racing|Horse Racing Summers's Tour|Game Provider 6|ongoing|2025-01-11 12:46:17|2025-01-11 20:13:11
HRSR30664754|Horse Racing|Horse Racing Chavez's Cup|Game Provider 7|finished|2024-08-21 18:32:18|2024-08-24 02:03:41
HRSR90688266|Horse Racing|Horse Racing Logan's Tour|Game Provider 8|scheduled|2024-11-11 19:12:15|2025-01-08 11:49:15
FOTY40322455|Football|Football Gomez's Cup|Game Provider 2|ongoing|2024-11-12 19:10:26|2025-01-11 11:05:32
CRKT49596125|Cricket|Cricket Garcia's Tour|Game Provider 7|ongoing|2024-10-22 10:45:27|2025-01-06 09:34:16
GRHR42667605|Greyhounds|Greyhounds Stephens's Tour|Game Provider 3|ongoing|2024-08-28 10:34:45|2025-01-05 22:17:49
FOTY90163134|Football|Football Smith's Tour|Game Provider 5|finished|2024-10-21 10:55:53|2024-11-26 13:50:14
HRSR37824932|Horse Racing|Horse Racing Lee's Cup|Game Provider 5|finished|2024-10-22 00:20:26|2024-12-26 08:30:10
GRHR05236679|Greyhounds|Greyhounds Roberts's Cup|Game Provider 7|finished|2024-09-07 11:50:32|2024-09-22 03:13:33
CRKT87884917|Cricket|Cricket Brown's Tour|Game Provider 7|finished|2024-12-07 16:34:06|2024-12-24 14:16:35
CRKT11825083|Cricket|Cricket Skinner's Cup|Game Provider 9|finished|2024-08-29 22:32:34|2025-01-02 08:36:05
CRKT26747152|Cricket|Cricket Watson's Tour|Game Provider 7|finished|2024-11-07 05:59:39|2024-12-07 05:06:43
CRKT53905556|Cricket|Cricket Jenkins's Cup|Game Provider 5|ongoing|2024-09-12 01:15:12|2025-01-08 08:59:39
CRKT15788249|Cricket|Cricket York's Tour|Game Provider 9|finished|2024-10-05 22:16:57|2024-12-04 07:22:27
FOTY11085537|Football|Football Howard's Tour|Game Provider 5|finished|2024-08-08 16:35:30|2024-11-20 17:22:55
GRHR92691928|Greyhounds|Greyhounds Padilla's Day|Game Provider 4|ongoing|2024-07-05 19:38:04|2025-01-07 07:55:25
BSKT03200364|Basketball|Basketball Powell's Cup|Game Provider 10|finished|2024-07-17 07:46:48|2024-07-30 10:13:52
BSKT56439175|Basketball|Basketball White's Tour|Game Provider 4|finished|2024-11-14 03:46:32|2024-12-08 14:18:20
GRHR91660846|Greyhounds|Greyhounds Duncan's Day|Game Provider 6|finished|2024-07-26 11:05:32|2024-10-27 17:34:17
