id|currency|rate|created_at
EXSHP-1736676555|SHP|0.5676|2025-01-12 10:09:15
EXSHP-1736679924|SHP|0.3661|2025-01-12 11:05:24
EXSHP-1736691763|SHP|0.1978|2025-01-12 14:22:43
EXTOP-1736614760|TOP|0.524|2025-01-11 16:59:20
EXTOP-1736631726|TOP|0.5711|2025-01-11 21:42:06
EXTOP-1736649092|TOP|0.3677|2025-01-12 02:31:32
EXTOP-1736686734|TOP|0.5129|2025-01-12 12:58:54
EXTOP-1736689509|TOP|0.3783|2025-01-12 13:45:09
EXTOP-1736694479|TOP|0.8703|2025-01-12 15:07:59
EXTOP-1736695660|TOP|0.5499|2025-01-12 15:27:40
EXXOF-1736473318|XOF|0.2768|2025-01-10 01:41:58
EXXOF-1736644077|XOF|0.1026|2025-01-12 01:07:57
EXXOF-1736678852|XOF|0.7647|2025-01-12 10:47:32
EXXOF-1736689299|XOF|0.9205|2025-01-12 13:41:39
EXXOF-1736689362|XOF|0.6764|2025-01-12 13:42:42
EXTZS-1736677635|TZS|0.701|2025-01-12 10:27:15
EXTZS-1736678306|TZS|1.0083|2025-01-12 10:38:26
EXTZS-1736684531|TZS|0.0454|2025-01-12 12:22:11
EXTZS-1736695219|TZS|0.4683|2025-01-12 15:20:19
EXTZS-1736695657|TZS|0.7934|2025-01-12 15:27:37
EXPYG-1735731536|PYG|1.0733|2025-01-01 11:38:56
EXBIF-1735713323|BIF|0.746|2025-01-01 06:35:23
EXBIF-1735838468|BIF|1.0337|2025-01-02 17:21:08
EXBIF-1735848346|BIF|1.1667|2025-01-02 20:05:46
EXBIF-1736617533|BIF|0.2736|2025-01-11 17:45:33
EXSBD-1736227127|SBD|1.1287|2025-01-07 05:18:47
EXKGS-1735901870|KGS|0.1993|2025-01-03 10:57:50
EXKGS-1736496675|KGS|0.6598|2025-01-10 08:11:15
EXKGS-1736674464|KGS|1.0755|2025-01-12 09:34:24
EXKGS-1736685333|KGS|0.111|2025-01-12 12:35:33
EXKPW-1736269809|KPW|0.835|2025-01-07 17:10:09
EXKPW-1736615484|KPW|0.1812|2025-01-11 17:11:24
EXKPW-1736624334|KPW|0.3761|2025-01-11 19:38:54
EXNZD-1736622464|NZD|1.0969|2025-01-11 19:07:44
EXNZD-1736655311|NZD|0.1478|2025-01-12 04:15:11
EXNZD-1736677584|NZD|0.9639|2025-01-12 10:26:24
EXNZD-1736683088|NZD|0.9713|2025-01-12 11:58:08
EXNZD-1736684468|NZD|0.6151|2025-01-12 12:21:08
EXNZD-1736691057|NZD|0.1544|2025-01-12 14:10:57
EXBBD-1736221334|BBD|0.2782|2025-01-07 03:42:14
EXBBD-1736510686|BBD|0.9167|2025-01-10 12:04:46
EXBBD-1736537280|BBD|0.9422|2025-01-10 19:28:00
EXBBD-1736690279|BBD|0.7672|2025-01-12 13:57:59
EXINR-1736561069|INR|0.7346|2025-01-11 02:04:29
EXINR-1736627729|INR|0.0881|2025-01-11 20:35:29
EXINR-1736662366|INR|0.2652|2025-01-12 06:12:46
EXINR-1736678804|INR|0.3063|2025-01-12 10:46:44
EXINR-1736685642|INR|0.8091|2025-01-12 12:40:42
EXALL-1736409114|ALL|0.0018|2025-01-09 07:51:54
EXALL-1736459556|ALL|0.9504|2025-01-09 21:52:36
EXALL-1736607098|ALL|0.3209|2025-01-11 14:51:38
EXJOD-1736254949|JOD|0.6984|2025-01-07 13:02:29
EXJOD-1736692567|JOD|0.044|2025-01-12 14:36:07
EXJOD-1736695045|JOD|0.3281|2025-01-12 15:17:25
EXJOD-1736695875|JOD|0.2889|2025-01-12 15:31:15
EXJOD-1736695922|JOD|0.6386|2025-01-12 15:32:02
EXTHB-1736349419|THB|1.1413|2025-01-08 15:16:59
EXLAK-1736224225|LAK|0.9655|2025-01-07 04:30:25
EXLAK-1736226510|LAK|0.9973|2025-01-07 05:08:30
EXLAK-1736557181|LAK|1.0018|2025-01-11 00:59:41
EXLAK-1736612000|LAK|0.1846|2025-01-11 16:13:20
EXSVC-1735770696|SVC|0.5291|2025-01-01 22:31:36
EXSVC-1735972372|SVC|0.195|2025-01-04 06:32:52
EXSVC-1736536021|SVC|0.265|2025-01-10 19:07:01
EXSVC-1736597536|SVC|0.3927|2025-01-11 12:12:16
EXSVC-1736600512|SVC|1.0497|2025-01-11 13:01:52
EXSVC-1736665975|SVC|0.333|2025-01-12 07:12:55
EXSVC-1736681223|SVC|0.6565|2025-01-12 11:27:03
EXSVC-1736688046|SVC|0.9701|2025-01-12 13:20:46
EXCRC-1736339740|CRC|0.4267|2025-01-08 12:35:40
EXCRC-1736395853|CRC|0.8216|2025-01-09 04:10:53
EXCRC-1736637549|CRC|0.327|2025-01-11 23:19:09
EXCRC-1736681751|CRC|1.0357|2025-01-12 11:35:51
EXCRC-1736691833|CRC|1.0692|2025-01-12 14:23:53
EXGBP-1736618120|GBP|0.6445|2025-01-11 17:55:20
EXGBP-1736659072|GBP|0.949|2025-01-12 05:17:52
EXGBP-1736684549|GBP|0.8052|2025-01-12 12:22:29
EXGBP-1736692589|GBP|0.5908|2025-01-12 14:36:29
EXGBP-1736694241|GBP|0.7223|2025-01-12 15:04:01
EXGBP-1736694395|GBP|0.9192|2025-01-12 15:06:35
EXGBP-1736694441|GBP|1.1179|2025-01-12 15:07:21
EXSGD-1736356063|SGD|0.5515|2025-01-08 17:07:43
EXSGD-1736363396|SGD|0.7047|2025-01-08 19:09:56
EXSGD-1736560762|SGD|0.2643|2025-01-11 01:59:22
EXSGD-1736577636|SGD|1.0989|2025-01-11 06:40:36
EXSGD-1736612010|SGD|0.4829|2025-01-11 16:13:30
EXSGD-1736659347|SGD|0.9996|2025-01-12 05:22:27
EXSGD-1736681891|SGD|1.1606|2025-01-12 11:38:11
EXTJS-1735835539|TJS|1.0778|2025-01-02 16:32:19
EXTJS-1736125633|TJS|1.0378|2025-01-06 01:07:13
EXMNT-1736077003|MNT|0.9446|2025-01-05 11:36:43
EXMNT-1736538468|MNT|0.1673|2025-01-10 19:47:48
EXCUP-1736271375|CUP|0.6321|2025-01-07 17:36:15
EXCUP-1736467179|CUP|0.712|2025-01-09 23:59:39
EXCUP-1736531702|CUP|0.9285|2025-01-10 17:55:02
EXCUP-1736631322|CUP|0.8066|2025-01-11 21:35:22
EXCUP-1736680339|CUP|0.7138|2025-01-12 11:12:19
EXCUP-1736690700|CUP|0.0233|2025-01-12 14:05:00
EXCUP-1736692301|CUP|0.8054|2025-01-12 14:31:41
EXCUP-1736695896|CUP|0.9127|2025-01-12 15:31:36
EXQAR-1735696732|QAR|0.1271|2025-01-01 01:58:52
EXQAR-1736348751|QAR|0.4489|2025-01-08 15:05:51
EXSTD-1735720106|STD|0.3634|2025-01-01 08:28:26
EXSTD-1736581324|STD|0.105|2025-01-11 07:42:04
EXAZN-1736059789|AZN|0.2079|2025-01-05 06:49:49
EXAZN-1736460381|AZN|0.0543|2025-01-09 22:06:21
EXAZN-1736554044|AZN|0.389|2025-01-11 00:07:24
EXAZN-1736678845|AZN|0.7585|2025-01-12 10:47:25
EXPKR-1735795399|PKR|0.8493|2025-01-02 05:23:19
EXPKR-1736148153|PKR|0.838|2025-01-06 07:22:33
EXPKR-1736664305|PKR|0.4327|2025-01-12 06:45:05
EXPKR-1736664605|PKR|0.6857|2025-01-12 06:50:05
EXPKR-1736683762|PKR|1.0005|2025-01-12 12:09:22
EXPKR-1736683903|PKR|0.9693|2025-01-12 12:11:43
EXPKR-1736694904|PKR|0.2388|2025-01-12 15:15:04
EXPKR-1736695489|PKR|0.5976|2025-01-12 15:24:49
EXBHD-1736393615|BHD|1.1942|2025-01-09 03:33:35
EXGTQ-1735856092|GTQ|0.8493|2025-01-02 22:14:52
EXGTQ-1736570937|GTQ|1.197|2025-01-11 04:48:57
EXGTQ-1736599168|GTQ|0.4157|2025-01-11 12:39:28
EXGTQ-1736664381|GTQ|0.1012|2025-01-12 06:46:21
EXGTQ-1736687517|GTQ|0.5189|2025-01-12 13:11:57
EXUZS-1736414007|UZS|0.6358|2025-01-09 09:13:27
EXUZS-1736550068|UZS|0.9344|2025-01-10 23:01:08
EXUZS-1736607154|UZS|0.642|2025-01-11 14:52:34
EXUZS-1736617025|UZS|0.7127|2025-01-11 17:37:05
EXUZS-1736656207|UZS|0.4253|2025-01-12 04:30:07
EXEUR-1736383808|EUR|0.4094|2025-01-09 00:50:08
EXEUR-1736624445|EUR|0.6089|2025-01-11 19:40:45
EXEUR-1736662683|EUR|0.825|2025-01-12 06:18:03
EXTVD-1735831388|TVD|1.1927|2025-01-02 15:23:08
EXTVD-1736367784|TVD|0.7158|2025-01-08 20:23:04
EXXPF-1736148259|XPF|0.4517|2025-01-06 07:24:19
EXXPF-1736411025|XPF|1.189|2025-01-09 08:23:45
EXXPF-1736503500|XPF|0.2323|2025-01-10 10:05:00
EXXPF-1736566060|XPF|0.4093|2025-01-11 03:27:40
EXXPF-1736592170|XPF|0.189|2025-01-11 10:42:50
EXXPF-1736685387|XPF|0.7228|2025-01-12 12:36:27
EXKMF-1736659291|KMF|0.2783|2025-01-12 05:21:31
EXKMF-1736695054|KMF|0.311|2025-01-12 15:17:34
EXSOS-1736332377|SOS|0.0732|2025-01-08 10:32:57
EXSOS-1736431717|SOS|1.1698|2025-01-09 14:08:37
EXARS-1736456948|ARS|0.9878|2025-01-09 21:09:08
EXARS-1736621379|ARS|0.8971|2025-01-11 18:49:39
EXARS-1736636479|ARS|0.3566|2025-01-11 23:01:19
EXPGK-1735873519|PGK|0.116|2025-01-03 03:05:19
EXJEP-1736435094|JEP|1.0649|2025-01-09 15:04:54
EXMZN-1736304638|MZN|0.333|2025-01-08 02:50:38
EXMZN-1736616573|MZN|0.6413|2025-01-11 17:29:33
EXMZN-1736654809|MZN|0.0377|2025-01-12 04:06:49
EXMZN-1736659302|MZN|0.454|2025-01-12 05:21:42
EXMZN-1736665809|MZN|0.5435|2025-01-12 07:10:09
EXMWK-1736644346|MWK|0.9185|2025-01-12 01:12:26
EXMWK-1736665248|MWK|0.2005|2025-01-12 07:00:48
EXMWK-1736689976|MWK|0.2615|2025-01-12 13:52:56
EXMWK-1736695150|MWK|0.9079|2025-01-12 15:19:10
EXPLN-1736417968|PLN|0.2764|2025-01-09 10:19:28
EXPLN-1736439134|PLN|0.4659|2025-01-09 16:12:14
EXPLN-1736484531|PLN|1.0998|2025-01-10 04:48:51
EXPLN-1736616824|PLN|0.9288|2025-01-11 17:33:44
EXPLN-1736680137|PLN|0.4485|2025-01-12 11:08:57
EXAUD-1736092458|AUD|1.1663|2025-01-05 15:54:18
EXAUD-1736639404|AUD|1.1361|2025-01-11 23:50:04
EXAUD-1736659054|AUD|0.196|2025-01-12 05:17:34
EXAUD-1736673611|AUD|0.2468|2025-01-12 09:20:11
EXAUD-1736677726|AUD|1.1216|2025-01-12 10:28:46
EXAUD-1736678798|AUD|0.4337|2025-01-12 10:46:38
EXAUD-1736683940|AUD|0.5317|2025-01-12 12:12:20
EXGGP-1736288358|GGP|0.5771|2025-01-07 22:19:18
EXGGP-1736327928|GGP|0.7801|2025-01-08 09:18:48
EXGGP-1736629293|GGP|1.0863|2025-01-11 21:01:33
EXBSD-1736202128|BSD|0.2098|2025-01-06 22:22:08
EXBSD-1736249769|BSD|1.1375|2025-01-07 11:36:09
EXBSD-1736266309|BSD|1.1776|2025-01-07 16:11:49
EXBSD-1736511765|BSD|0.4379|2025-01-10 12:22:45
EXMGA-1736514228|MGA|0.923|2025-01-10 13:03:48
EXMGA-1736536047|MGA|0.6751|2025-01-10 19:07:27
EXMGA-1736648010|MGA|0.9985|2025-01-12 02:13:30
EXMGA-1736656559|MGA|0.5416|2025-01-12 04:35:59
EXMGA-1736681998|MGA|0.0421|2025-01-12 11:39:58
EXMGA-1736688705|MGA|0.5727|2025-01-12 13:31:45
EXMGA-1736689919|MGA|0.132|2025-01-12 13:51:59
EXLYD-1736143492|LYD|1.0693|2025-01-06 06:04:52
EXLYD-1736353418|LYD|0.2733|2025-01-08 16:23:38
EXLYD-1736466236|LYD|0.6734|2025-01-09 23:43:56
EXLYD-1736613035|LYD|1.0102|2025-01-11 16:30:35
EXLYD-1736613723|LYD|0.7704|2025-01-11 16:42:03
EXLYD-1736686065|LYD|0.0117|2025-01-12 12:47:45
EXLYD-1736690885|LYD|0.3921|2025-01-12 14:08:05
EXANG-1736421303|ANG|0.0502|2025-01-09 11:15:03
EXANG-1736619697|ANG|1.1344|2025-01-11 18:21:37
EXANG-1736686204|ANG|0.7664|2025-01-12 12:50:04
EXANG-1736691609|ANG|0.5614|2025-01-12 14:20:09
EXANG-1736691734|ANG|1.189|2025-01-12 14:22:14
EXANG-1736695401|ANG|0.2652|2025-01-12 15:23:21
EXANG-1736695403|ANG|1.0839|2025-01-12 15:23:23
EXTMT-1735962680|TMT|0.2063|2025-01-04 03:51:20
EXTMT-1736286844|TMT|0.1531|2025-01-07 21:54:04
EXTMT-1736522704|TMT|0.6648|2025-01-10 15:25:04
EXTMT-1736635001|TMT|0.9764|2025-01-11 22:36:41
EXTMT-1736644180|TMT|0.7021|2025-01-12 01:09:40
EXKHR-1735730015|KHR|1.0225|2025-01-01 11:13:35
EXKHR-1736188555|KHR|0.3765|2025-01-06 18:35:55
EXKHR-1736191456|KHR|0.7229|2025-01-06 19:24:16
EXKHR-1736339922|KHR|1.1335|2025-01-08 12:38:42
EXKHR-1736437018|KHR|0.7724|2025-01-09 15:36:58
EXKHR-1736506256|KHR|0.5051|2025-01-10 10:50:56
EXKHR-1736664021|KHR|0.6292|2025-01-12 06:40:21
EXNIO-1735860557|NIO|0.7782|2025-01-02 23:29:17
EXNIO-1736162059|NIO|0.1146|2025-01-06 11:14:19
EXNIO-1736200690|NIO|0.949|2025-01-06 21:58:10
EXNIO-1736616715|NIO|0.2297|2025-01-11 17:31:55
EXNIO-1736679210|NIO|0.5027|2025-01-12 10:53:30
EXNIO-1736683505|NIO|0.7463|2025-01-12 12:05:05
EXLSL-1736273582|LSL|1.0572|2025-01-07 18:13:02
EXMOP-1736316455|MOP|0.0131|2025-01-08 06:07:35
EXMOP-1736606759|MOP|1.1209|2025-01-11 14:45:59
EXMOP-1736666619|MOP|0.9913|2025-01-12 07:23:39
EXMOP-1736671395|MOP|0.7328|2025-01-12 08:43:15
EXMOP-1736687247|MOP|0.4968|2025-01-12 13:07:27
EXLTL-1735756538|LTL|1.1035|2025-01-01 18:35:38
EXLTL-1736554291|LTL|0.0555|2025-01-11 00:11:31
EXLTL-1736688750|LTL|0.7865|2025-01-12 13:32:30
EXLTL-1736690070|LTL|0.1597|2025-01-12 13:54:30
EXLTL-1736695697|LTL|0.5126|2025-01-12 15:28:17
EXLTL-1736695887|LTL|0.8818|2025-01-12 15:31:27
EXLTL-1736695935|LTL|0.9252|2025-01-12 15:32:15
EXLTL-1736695941|LTL|0.0006|2025-01-12 15:32:21
EXILS-1736058364|ILS|0.1892|2025-01-05 06:26:04
EXILS-1736406057|ILS|0.4171|2025-01-09 07:00:57
EXILS-1736692349|ILS|0.0408|2025-01-12 14:32:29
EXCLP-1736274066|CLP|0.4605|2025-01-07 18:21:06
EXCLP-1736290584|CLP|0.3277|2025-01-07 22:56:24
EXCLP-1736466047|CLP|0.1661|2025-01-09 23:40:47
EXCLP-1736577198|CLP|1.0723|2025-01-11 06:33:18
EXCLP-1736646008|CLP|0.7778|2025-01-12 01:40:08
EXHNL-1735691033|HNL|0.0134|2025-01-01 00:23:53
EXHNL-1736493853|HNL|0.002|2025-01-10 07:24:13
EXHNL-1736663222|HNL|0.8713|2025-01-12 06:27:02
EXHNL-1736687000|HNL|0.5434|2025-01-12 13:03:20
EXHNL-1736688582|HNL|0.4449|2025-01-12 13:29:42
EXHNL-1736693312|HNL|1.1625|2025-01-12 14:48:32
EXHNL-1736695924|HNL|0.9444|2025-01-12 15:32:04
EXBND-1736248591|BND|0.6283|2025-01-07 11:16:31
EXBND-1736437005|BND|0.1566|2025-01-09 15:36:45
EXBND-1736497985|BND|1.1935|2025-01-10 08:33:05
EXBND-1736627597|BND|0.1917|2025-01-11 20:33:17
EXBND-1736640394|BND|0.9339|2025-01-12 00:06:34
EXEGP-1736660231|EGP|0.0488|2025-01-12 05:37:11
EXEGP-1736665771|EGP|0.7145|2025-01-12 07:09:31
EXEGP-1736679008|EGP|0.9428|2025-01-12 10:50:08
EXEGP-1736680882|EGP|0.2618|2025-01-12 11:21:22
EXEGP-1736689724|EGP|0.9575|2025-01-12 13:48:44
EXEGP-1736690699|EGP|1.0108|2025-01-12 14:04:59
EXNOK-1736434230|NOK|0.3913|2025-01-09 14:50:30
EXNOK-1736612945|NOK|0.4328|2025-01-11 16:29:05
EXLKR-1735752929|LKR|0.2027|2025-01-01 17:35:29
EXLKR-1735911095|LKR|0.211|2025-01-03 13:31:35
EXRON-1736057850|RON|1.1772|2025-01-05 06:17:30
EXRON-1736549186|RON|0.2308|2025-01-10 22:46:26
EXKES-1736478893|KES|0.7886|2025-01-10 03:14:53
EXKES-1736483342|KES|0.9056|2025-01-10 04:29:02
EXBYR-1736130892|BYR|0.2813|2025-01-06 02:34:52
EXBYR-1736475264|BYR|0.6646|2025-01-10 02:14:24
EXBYR-1736585867|BYR|0.9954|2025-01-11 08:57:47
EXBYR-1736672697|BYR|1.1663|2025-01-12 09:04:57
EXBYR-1736692406|BYR|1.05|2025-01-12 14:33:26
EXNGN-1736387158|NGN|0.2983|2025-01-09 01:45:58
EXNGN-1736645757|NGN|0.0241|2025-01-12 01:35:57
EXNGN-1736655415|NGN|0.9716|2025-01-12 04:16:55
EXNGN-1736674862|NGN|0.2882|2025-01-12 09:41:02
EXNGN-1736676494|NGN|0.5693|2025-01-12 10:08:14
EXOMR-1736293348|OMR|0.4538|2025-01-07 23:42:28
EXOMR-1736416023|OMR|0.9478|2025-01-09 09:47:03
EXGNF-1735798474|GNF|1.06|2025-01-02 06:14:34
EXGNF-1735963386|GNF|0.7929|2025-01-04 04:03:06
EXGNF-1736098443|GNF|0.8762|2025-01-05 17:34:03
